packet_size,protocol,flow_duration,total_packets,total_bytes,packets_per_second,bytes_per_second,avg_packet_size,min_packet_size,max_packet_size,packet_size_std,forward_packet_count,backward_packet_count,forward_bytes,backward_bytes,packet_direction_ratio,flow_symmetry_ratio,unique_src_ports,unique_dst_ports,ttl_mean,ttl_std,ip_fragment_count,tcp_syn_count,tcp_ack_count,tcp_fin_count,tcp_rst_count,tcp_psh_count,tcp_urg_count,tcp_flag_total,tcp_syn_ratio,tcp_ack_ratio,tcp_fin_ratio,tcp_rst_ratio,tcp_psh_ratio,tcp_urg_ratio,retransmission_estimate,packet_size_entropy,timing_entropy,burstiness_score,packet_rate_variance,byte_rate_variance,payload_variability_score,inter_arrival_mean,inter_arrival_std,flow_idle_time,flow_active_time,packet_size_randomization_score,timing_jitter_score,fragmentation_anomaly_score,ttl_randomization_score,tos_randomization_score,window_randomization_score,header_consistency_score,timing_irregularity_score,flow_uniformity_score,obf_size_randomized,obf_timing_jittered,obf_fragmented,obf_ttl_randomized,obf_tos_randomized,obf_window_randomized,label,label_binary,attack_family,scenario_id,obfuscation_applied,obfuscation_type,obfuscation_severity,obf_fragment_index,obf_total_fragments
20,6,0.0,1,0,0.0,0.0,0.0,20,20,0.0,1,0,0,0,1.0,0.0,1,1,0.0,0.0,4,1,0,0,0,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,1,0,0,0,malicious,1,PartOfAHorizontalPortScan,CTU-IoT-Malware-Capture-1-1,1,fragmentation,medium,1.0,5.0
152,17,0.001232,2,96,1623.3766233766235,77922.07792207792,48.0,152,152,0.0,1,1,48,48,1.0,1.0,1,1,0.0,0.0,0,1,0,1,0,0,0,2,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001232,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0,0,0,0,0,benign,0,-,CTU-IoT-Malware-Capture-1-1,0,none,none,0.0,0.0
40,17,0.0,1,0,0.0,0.0,0.0,40,40,0.0,1,0,0,0,1.0,0.0,1,1,0.0,0.0,0,1,0,0,0,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0,0,0,0,0,benign,0,-,CTU-IoT-Malware-Capture-1-1,0,none,none,0.0,0.0
40,17,0.0,1,0,0.0,0.0,0.0,40,40,0.0,1,0,0,0,1.0,0.0,1,1,0.0,0.0,0,1,0,0,0,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0,0,0,0,0,benign,0,-,CTU-IoT-Malware-Capture-1-1,0,none,none,0.0,0.0
40,17,0.0,1,0,0.0,0.0,0.0,40,40,0.0,1,0,0,0,1.0,0.0,1,1,0.0,0.0,0,1,0,0,0,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0,0,0,0,0,benign,0,-,CTU-IoT-Malware-Capture-1-1,0,none,none,0.0,0.0
40,17,0.0,1,0,0.0,0.0,0.0,40,40,0.0,1,0,0,0,1.0,0.0,1,1,0.0,0.0,0,1,0,0,0,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0,0,0,0,0,benign,0,-,CTU-IoT-Malware-Capture-1-1,0,none,none,0.0,0.0
40,17,0.0,1,0,0.0,0.0,0.0,40,40,0.0,1,0,0,0,1.0,0.0,1,1,0.0,0.0,0,1,0,0,0,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0,0,0,0,0,benign,0,-,CTU-IoT-Malware-Capture-1-1,0,none,none,0.0,0.0
60,6,0.0,1,0,0.0,0.0,0.0,60,60,0.0,1,0,0,0,1.0,0.0,1,1,0.0,0.0,0,1,0,0,0,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0,0,0,0,0,benign,0,-,CTU-IoT-Malware-Capture-1-1,0,none,none,0.0,0.0
30,6,0.0,1,0,0.0,0.0,0.0,30,30,0.0,1,0,0,0,1.0,0.0,1,1,0.0,0.0,1,1,0,0,0,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,1.0,0.0,0.0,0,0,1,0,0,0,malicious,1,PartOfAHorizontalPortScan,CTU-IoT-Malware-Capture-1-1,1,fragmentation,medium,0.0,2.0
20,6,0.0,1,0,0.0,0.0,0.0,20,20,0.0,1,0,0,0,1.0,0.0,1,1,0.0,0.0,3,1,0,0,0,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,1.0,0.0,0.0,0,0,1,0,0,0,malicious,1,PartOfAHorizontalPortScan,CTU-IoT-Malware-Capture-1-1,1,fragmentation,medium,1.0,4.0
180,6,2.998827,3,0,1.0003911529407998,0.0,0.0,180,180,0.0,3,0,0,0,3.0,0.0,1,1,0.0,0.0,0,1,0,0,0,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.998827,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0,0,0,0,0,malicious,1,PartOfAHorizontalPortScan,CTU-IoT-Malware-Capture-1-1,1,fragmentation,medium,0.0,0.0
68,1,0.0,1,0,0.0,0.0,0.0,68,68,0.0,1,0,0,0,1.0,0.0,1,1,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0,0,0,0,0,benign,0,-,CTU-IoT-Malware-Capture-1-1,0,none,none,0.0,0.0
40,17,0.0,1,0,0.0,0.0,0.0,40,40,0.0,1,0,0,0,1.0,0.0,1,1,0.0,0.0,0,1,0,0,0,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0,0,0,0,0,benign,0,-,CTU-IoT-Malware-Capture-1-1,0,none,none,0.0,0.0
40,17,0.0,1,0,0.0,0.0,0.0,40,40,0.0,1,0,0,0,1.0,0.0,1,1,0.0,0.0,0,1,0,0,0,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0,0,0,0,0,benign,0,-,CTU-IoT-Malware-Capture-1-1,0,none,none,0.0,0.0
20,6,0.0,1,0,0.0,0.0,0.0,20,20,0.0,1,0,0,0,1.0,0.0,1,1,0.0,0.0,4,1,0,0,0,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,1,0,0,0,malicious,1,PartOfAHorizontalPortScan,CTU-IoT-Malware-Capture-1-1,1,fragmentation,medium,4.0,5.0
60,6,0.0,1,0,0.0,0.0,0.0,60,60,0.0,1,0,0,0,1.0,0.0,1,1,0.0,0.0,0,1,0,0,0,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0,0,0,0,0,malicious,1,PartOfAHorizontalPortScan,CTU-IoT-Malware-Capture-1-1,1,fragmentation,medium,0.0,0.0
60,6,0.0,1,0,0.0,0.0,0.0,60,60,0.0,1,0,0,0,1.0,0.0,1,1,0.0,0.0,0,1,0,0,0,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0,0,0,0,0,malicious,1,PartOfAHorizontalPortScan,CTU-IoT-Malware-Capture-1-1,1,fragmentation,medium,0.0,0.0
60,6,2.998819,3,0,1.000393821701143,0.0,0.0,60,60,0.0,3,0,0,0,3.0,0.0,1,1,0.0,0.0,2,1,0,0,0,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.998819,0.0,0.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0,0,1,0,0,0,malicious,1,PartOfAHorizontalPortScan,CTU-IoT-Malware-Capture-1-1,1,fragmentation,medium,2.0,3.0
40,17,0.0,1,0,0.0,0.0,0.0,40,40,0.0,1,0,0,0,1.0,0.0,1,1,0.0,0.0,0,1,0,0,0,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0,0,0,0,0,benign,0,-,CTU-IoT-Malware-Capture-1-1,0,none,none,0.0,0.0
40,17,0.0,1,0,0.0,0.0,0.0,40,40,0.0,1,0,0,0,1.0,0.0,1,1,0.0,0.0,0,1,0,0,0,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0,0,0,0,0,benign,0,-,CTU-IoT-Malware-Capture-1-1,0,none,none,0.0,0.0
40,17,0.0,1,0,0.0,0.0,0.0,40,40,0.0,1,0,0,0,1.0,0.0,1,1,0.0,0.0,0,1,0,0,0,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0,0,0,0,0,benign,0,-,CTU-IoT-Malware-Capture-1-1,0,none,none,0.0,0.0
40,17,0.0,1,0,0.0,0.0,0.0,40,40,0.0,1,0,0,0,1.0,0.0,1,1,0.0,0.0,0,1,0,0,0,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0,0,0,0,0,benign,0,-,CTU-IoT-Malware-Capture-1-1,0,none,none,0.0,0.0
40,17,0.0,1,0,0.0,0.0,0.0,40,40,0.0,1,0,0,0,1.0,0.0,1,1,0.0,0.0,0,1,0,0,0,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0,0,0,0,0,benign,0,-,CTU-IoT-Malware-Capture-1-1,0,none,none,0.0,0.0
40,17,0.0,1,0,0.0,0.0,0.0,40,40,0.0,1,0,0,0,1.0,0.0,1,1,0.0,0.0,0,1,0,0,0,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0,0,0,0,0,benign,0,-,CTU-IoT-Malware-Capture-1-1,0,none,none,0.0,0.0
60,6,0.0,1,0,0.0,0.0,0.0,60,60,0.0,1,0,0,0,1.0,0.0,1,1,0.0,0.0,0,1,0,0,0,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0,0,0,0,0,malicious,1,PartOfAHorizontalPortScan,CTU-IoT-Malware-Capture-1-1,1,fragmentation,medium,0.0,0.0
40,17,0.0,1,0,0.0,0.0,0.0,40,40,0.0,1,0,0,0,1.0,0.0,1,1,0.0,0.0,0,1,0,0,0,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0,0,0,0,0,benign,0,-,CTU-IoT-Malware-Capture-1-1,0,none,none,0.0,0.0
40,17,0.0,1,0,0.0,0.0,0.0,40,40,0.0,1,0,0,0,1.0,0.0,1,1,0.0,0.0,0,1,0,0,0,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0,0,0,0,0,benign,0,-,CTU-IoT-Malware-Capture-1-1,0,none,none,0.0,0.0
40,17,0.0,1,0,0.0,0.0,0.0,40,40,0.0,1,0,0,0,1.0,0.0,1,1,0.0,0.0,0,1,0,0,0,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0,0,0,0,0,benign,0,-,CTU-IoT-Malware-Capture-1-1,0,none,none,0.0,0.0
20,6,0.0,1,0,0.0,0.0,0.0,20,20,0.0,1,0,0,0,1.0,0.0,1,1,0.0,0.0,2,1,0,0,0,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0,0,1,0,0,0,malicious,1,PartOfAHorizontalPortScan,CTU-IoT-Malware-Capture-1-1,1,fragmentation,medium,1.0,3.0
40,17,0.0,1,0,0.0,0.0,0.0,40,40,0.0,1,0,0,0,1.0,0.0,1,1,0.0,0.0,0,1,0,0,0,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0,0,0,0,0,benign,0,-,CTU-IoT-Malware-Capture-1-1,0,none,none,0.0,0.0
60,6,2.998817,3,0,1.0003944888934537,0.0,0.0,60,60,0.0,3,0,0,0,3.0,0.0,1,1,0.0,0.0,2,1,0,0,0,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.998817,0.0,0.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0,0,1,0,0,0,malicious,1,PartOfAHorizontalPortScan,CTU-IoT-Malware-Capture-1-1,1,fragmentation,medium,2.0,3.0
40,17,0.0,1,0,0.0,0.0,0.0,40,40,0.0,1,0,0,0,1.0,0.0,1,1,0.0,0.0,0,1,0,0,0,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0,0,0,0,0,benign,0,-,CTU-IoT-Malware-Capture-1-1,0,none,none,0.0,0.0
36,6,2.998822,3,0,1.0003928209143456,0.0,0.0,36,36,0.0,3,0,0,0,3.0,0.0,1,1,0.0,0.0,4,1,0,0,0,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.998822,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,1,0,0,0,malicious,1,PartOfAHorizontalPortScan,CTU-IoT-Malware-Capture-1-1,1,fragmentation,medium,2.0,5.0
60,6,0.0,1,0,0.0,0.0,0.0,60,60,0.0,1,0,0,0,1.0,0.0,1,1,0.0,0.0,0,1,0,0,0,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0,0,0,0,0,malicious,1,PartOfAHorizontalPortScan,CTU-IoT-Malware-Capture-1-1,1,fragmentation,medium,0.0,0.0
40,17,0.0,1,0,0.0,0.0,0.0,40,40,0.0,1,0,0,0,1.0,0.0,1,1,0.0,0.0,0,1,0,0,0,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0,0,0,0,0,benign,0,-,CTU-IoT-Malware-Capture-1-1,0,none,none,0.0,0.0
180,6,2.998804,3,0,1.0003988256651652,0.0,0.0,180,180,0.0,3,0,0,0,3.0,0.0,1,1,0.0,0.0,0,1,0,0,0,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.998804,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0,0,0,0,0,benign,0,-,CTU-IoT-Malware-Capture-1-1,0,none,none,0.0,0.0
60,6,0.0,1,0,0.0,0.0,0.0,60,60,0.0,1,0,0,0,1.0,0.0,1,1,0.0,0.0,0,1,0,0,0,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0,0,0,0,0,malicious,1,PartOfAHorizontalPortScan,CTU-IoT-Malware-Capture-1-1,1,fragmentation,medium,0.0,0.0
40,17,0.0,1,0,0.0,0.0,0.0,40,40,0.0,1,0,0,0,1.0,0.0,1,1,0.0,0.0,0,1,0,0,0,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0,0,0,0,0,benign,0,-,CTU-IoT-Malware-Capture-1-1,0,none,none,0.0,0.0
60,6,0.0,1,0,0.0,0.0,0.0,60,60,0.0,1,0,0,0,1.0,0.0,1,1,0.0,0.0,0,1,0,0,0,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0,0,0,0,0,malicious,1,PartOfAHorizontalPortScan,CTU-IoT-Malware-Capture-1-1,1,fragmentation,medium,0.0,0.0
60,6,0.0,1,0,0.0,0.0,0.0,60,60,0.0,1,0,0,0,1.0,0.0,1,1,0.0,0.0,0,1,0,0,0,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0,0,0,0,0,malicious,1,PartOfAHorizontalPortScan,CTU-IoT-Malware-Capture-1-1,1,fragmentation,medium,0.0,0.0
20,6,0.0,1,0,0.0,0.0,0.0,20,20,0.0,1,0,0,0,1.0,0.0,1,1,0.0,0.0,4,1,0,0,0,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,1,0,0,0,malicious,1,PartOfAHorizontalPortScan,CTU-IoT-Malware-Capture-1-1,1,fragmentation,medium,3.0,5.0
40,17,0.0,1,0,0.0,0.0,0.0,40,40,0.0,1,0,0,0,1.0,0.0,1,1,0.0,0.0,0,1,0,0,0,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0,0,0,0,0,benign,0,-,CTU-IoT-Malware-Capture-1-1,0,none,none,0.0,0.0
264,1,3.000055,3,180,0.9999816670027716,59.998900020166296,60.0,264,264,0.0,3,0,180,0,3.0,180.0,1,1,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.000055,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0,0,0,0,0,benign,0,-,CTU-IoT-Malware-Capture-1-1,0,none,none,0.0,0.0
20,6,0.0,1,0,0.0,0.0,0.0,20,20,0.0,1,0,0,0,1.0,0.0,1,1,0.0,0.0,3,1,0,0,0,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,1.0,0.0,0.0,0,0,1,0,0,0,malicious,1,PartOfAHorizontalPortScan,CTU-IoT-Malware-Capture-1-1,1,fragmentation,medium,1.0,4.0
40,17,0.0,1,0,0.0,0.0,0.0,40,40,0.0,1,0,0,0,1.0,0.0,1,1,0.0,0.0,0,1,0,0,0,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0,0,0,0,0,benign,0,-,CTU-IoT-Malware-Capture-1-1,0,none,none,0.0,0.0
40,17,0.0,1,0,0.0,0.0,0.0,40,40,0.0,1,0,0,0,1.0,0.0,1,1,0.0,0.0,0,1,0,0,0,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0,0,0,0,0,benign,0,-,CTU-IoT-Malware-Capture-1-1,0,none,none,0.0,0.0
40,17,0.0,1,0,0.0,0.0,0.0,40,40,0.0,1,0,0,0,1.0,0.0,1,1,0.0,0.0,0,1,0,0,0,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0,0,0,0,0,benign,0,-,CTU-IoT-Malware-Capture-1-1,0,none,none,0.0,0.0
40,17,0.0,1,0,0.0,0.0,0.0,40,40,0.0,1,0,0,0,1.0,0.0,1,1,0.0,0.0,0,1,0,0,0,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0,0,0,0,0,benign,0,-,CTU-IoT-Malware-Capture-1-1,0,none,none,0.0,0.0
40,17,0.0,1,0,0.0,0.0,0.0,40,40,0.0,1,0,0,0,1.0,0.0,1,1,0.0,0.0,0,1,0,0,0,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0,0,0,0,0,benign,0,-,CTU-IoT-Malware-Capture-1-1,0,none,none,0.0,0.0
40,17,0.0,1,0,0.0,0.0,0.0,40,40,0.0,1,0,0,0,1.0,0.0,1,1,0.0,0.0,0,1,0,0,0,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0,0,0,0,0,benign,0,-,CTU-IoT-Malware-Capture-1-1,0,none,none,0.0,0.0
60,6,0.0,1,0,0.0,0.0,0.0,60,60,0.0,1,0,0,0,1.0,0.0,1,1,0.0,0.0,0,1,0,0,0,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0,0,0,0,0,malicious,1,PartOfAHorizontalPortScan,CTU-IoT-Malware-Capture-1-1,1,fragmentation,medium,0.0,0.0
60,6,0.0,1,0,0.0,0.0,0.0,60,60,0.0,1,0,0,0,1.0,0.0,1,1,0.0,0.0,0,1,0,0,0,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0,0,0,0,0,malicious,1,PartOfAHorizontalPortScan,CTU-IoT-Malware-Capture-1-1,1,fragmentation,medium,0.0,0.0
56,1,0.0,1,0,0.0,0.0,0.0,56,56,0.0,1,0,0,0,1.0,0.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0,0,0,0,0,benign,0,-,CTU-IoT-Malware-Capture-1-1,0,none,none,0.0,0.0
40,17,0.0,1,0,0.0,0.0,0.0,40,40,0.0,1,0,0,0,1.0,0.0,1,1,0.0,0.0,0,1,0,0,0,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0,0,0,0,0,benign,0,-,CTU-IoT-Malware-Capture-1-1,0,none,none,0.0,0.0
40,17,0.0,1,0,0.0,0.0,0.0,40,40,0.0,1,0,0,0,1.0,0.0,1,1,0.0,0.0,0,1,0,0,0,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0,0,0,0,0,benign,0,-,CTU-IoT-Malware-Capture-1-1,0,none,none,0.0,0.0
